PLAYER,MARKET,LINE,ODDS,IMPLIED_PROB,HOME_TEAM,AWAY_TEAM,GAME
Gradey Dick,3PM,1.5,112,0.4716981132075472,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Scottie Barnes,3PM,1.5,141,0.4149377593360996,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Jamal Shead,3PM,0.5,-204,0.6710526315789473,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Sandro Mamukelashvili,3PM,0.5,-178,0.6402877697841727,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Nikola Jokic,AST,10.5,104,0.49019607843137253,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jamal Murray,AST,5.5,-153,0.6047430830039525,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Zion Williamson,AST,3.5,-142,0.5867768595041323,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Derik Queen,AST,3.5,120,0.45454545454545453,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jeremiah Fears,AST,3.5,125,0.4444444444444444,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Trey Murphy III,AST,3.5,125,0.4444444444444444,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Herb Jones,AST,2.5,100,0.5,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Nikola Jokic,PTS,28.5,-109,0.5215311004784688,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jamal Murray,PTS,23.5,-109,0.5215311004784688,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Zion Williamson,PTS,19.5,-102,0.504950495049505,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Trey Murphy III,PTS,18.5,-116,0.5370370370370371,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Aaron Gordon,PTS,17.5,-107,0.5169082125603864,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jeremiah Fears,PTS,14.5,-113,0.5305164319248826,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Cameron Johnson,PTS,12.5,-113,0.5305164319248826,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Derik Queen,PTS,11.5,-113,0.5305164319248826,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Tim Hardaway Jr,PTS,10.5,-121,0.5475113122171946,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Herb Jones,PTS,9.5,-123,0.5515695067264574,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Peyton Watson,PTS,9.5,-108,0.5192307692307693,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Bruce Brown,PTS,8.5,-125,0.5555555555555556,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Nikola Jokic,REB,12.5,-120,0.5454545454545454,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Derik Queen,REB,6.5,-131,0.5670995670995671,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Aaron Gordon,REB,5.5,-151,0.601593625498008,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Zion Williamson,REB,5.5,108,0.4807692307692308,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Trey Murphy III,REB,5.5,112,0.4716981132075472,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Peyton Watson,REB,4.5,-103,0.5073891625615764,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jamal Murray,REB,4.5,108,0.4807692307692308,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Bruce Brown,REB,4.5,117,0.4608294930875576,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Cameron Johnson,REB,3.5,100,0.5,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jeremiah Fears,REB,2.5,-169,0.6282527881040892,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Herb Jones,REB,2.5,-144,0.5901639344262295,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Nikola Jokic,STL,1.5,-131,0.5670995670995671,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Herb Jones,STL,1.5,118,0.45871559633027525,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jamal Murray,STL,1.5,146,0.4065040650406504,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Zion Williamson,STL,1.5,162,0.3816793893129771,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Aaron Gordon,STL,0.5,-175,0.6363636363636364,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Trey Murphy III,STL,0.5,-166,0.6240601503759399,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Trey Murphy III,3PM,2.5,-153,0.6047430830039525,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jamal Murray,3PM,2.5,-131,0.5670995670995671,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Tim Hardaway Jr,3PM,2.5,110,0.47619047619047616,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Nikola Jokic,3PM,1.5,-178,0.6402877697841727,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Cameron Johnson,3PM,1.5,-166,0.6240601503759399,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Aaron Gordon,3PM,1.5,-147,0.5951417004048583,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Herb Jones,3PM,1.5,-102,0.504950495049505,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
Jeremiah Fears,3PM,1.5,169,0.37174721189591076,New Orleans Pelicans,Denver Nuggets,Denver Nuggets @ New Orleans Pelicans
